235178067	235178067	1	0	1605624429	1605690506	1605690506
1078141715	1078141715	1	0	1604816176	1611308647	1611313795
1030159301	1030159301	1	0	1607426012	1610164276	1611309830
1143444842	1143444842	1	631616665	1604816280	1611309260	1611309592
621082871	621082871	1	2982875892	1604819595	1606631289	1611310519
1021400498	1021400498	1	0	1607827351	0	1610612000
1138082422	1138082422	1	0	1604821805	1610006303	1610356533
949695902	949695902	1	0	1607514026	0	1607514040
1102503252	1102503252	1	0	1605343832	1609940378	1609940512
730079037	730079037	1	0	1607827295	0	1607827295
794070447	794070447	1	0	1607827327	0	1607827327
1015506831	1015506831	1	0	1609575081	1609850498	1609935600
979519662	979519662	1	0	1608984773	0	1608984773
978576107	978576107	1	0	1610285409	1610934025	1611313606
632075584	632075584	1	0	1610375327	0	1610376245
